article_id,source_id,date_id,title,url
0,4,20251117,Environment Minister Bhupendra Yadav among 7 tasked with moving the needle at COP30,https://economictimes.indiatimes.com/news/india/environment-minister-bhupendra-yadav-among-7-tasked-with-moving-the-needle-at-cop30/articleshow/125394053.cms
9,7,20251117,"Drones dispatching hair-loss drugs, Ozempic and steroids to prisons",https://www.thetimes.com/uk/crime/article/drones-hair-loss-drugs-ozempic-steroids-prisons-l6nnf8b9j
7,6,20251117,"Modern and secure technology must to counter cyber threat, says Natasha",https://www.nation.com.pk/18-Nov-2025/modern-secure-technology-must-counter-cyber-threat-says-natasha
2,8,20251117,"IISc Bengaluru, IIT Gandhinagar team up for new academic pathway",https://timesofindia.indiatimes.com/city/bengaluru/iisc-bengaluru-iit-gandhinagar-team-up-for-new-academic-pathway/articleshow/125393579.cms
6,5,20251117,ConnectM Reports Third Quarter 2025 Results: 45% Revenue Growth and Continued Balance Sheet Deleveraging,https://www.manilatimes.net/2025/11/18/tmt-newswire/globenewswire/connectm-reports-third-quarter-2025-results-45-revenue-growth-and-continued-balance-sheet-deleveraging/2225799
8,3,20251117,War Dept. Looks to Biomanufacturing as New Key Focus,https://www.newsmax.com/us/biomanufcturing-wardeptartment-soldiers/2025/11/17/id/1234898/
4,1,20251117,"Stanley Druckenmiller rebuilds Big Tech bets, dips into stablecoins with Figure Technology",https://www.cnbc.com/2025/11/17/stanley-druckenmiller-rebuilds-big-tech-bets-dips-into-stablecoins-with-figure-technology.html
5,2,20251117,Telangana Cabinet clears Bill for welfare of Gig workers,https://www.lokmattimes.com/technology/telangana-cabinet-clears-bill-for-welfare-of-gig-workers-2/
3,0,20251117,Nvidia Powers $500 Million AI Factory In Taiwan As Global Race For Smarter Tech Heats Up,https://www.benzinga.com/markets/tech/25/11/48906142/nvidia-powers-500-million-ai-factory-in-taiwan-as-global-race-for-smarter-tech-heats-up
1,4,20251117,Nvidia CEO drops half-trillion forecast - Wall Street canâ€™t wait for earnings report,https://economictimes.indiatimes.com/news/international/us/nvidia-ceo-drops-half-trillion-forecast-wall-street-cant-wait-for-earnings-report/articleshow/125392627.cms
