username,total_comments,likes,replies,engagement_score
@10███wor███,1,29,6,35
@19███izz███,1,4,2,6
@1a███tir███,1,2,4,6
@1l███bab███,1,2,4,6
@20███bas███,1,1,0,1
@21███el,1,3,4,7
@4s███ble███,1,7,2,9
@58███a,1,5,1,6
@AA███77,1,2,2,4
@AF███-b4███,1,4,1,5
@AM███FIY███,1,1,1,2
@A_███ano███ous███,1,5,1,6
@Ab███-og███,1,2,2,4
@Ab███345███,1,2,1,3
@Ab███Reh███-j6██████,1,1,1,2
@Ab███Zai███zr4███,1,1,1,2
@Ab███ari███med██████,1,1,1,2
@Ab███ute███bli███,1,64,8,72
@Ab███ysE███,1,14,1,15
@Af███BS,1,26,1,27
@Af███tio███eBo█████████g4u███,1,1,1,2
@Ah███-lc███,1,3,3,6
@Al███8NY███,1,9,3,12
@Al███aka███1,1,2,1,3
@Al███ava███5i,1,1,1,2
@Al███i2l███,2,5,2,7
@Al███oHa███s23███,1,2,4,6
@Al███shy███o,1,3,5,8
@Am███Cha███l,1,21,1,22
@An███Sav███-tx██████,1,6,1,7
@An███ali███r33███,1,49,3,52
@An███i,1,2,1,3
@Ap███obs███,1,86,15,101
@Ap███oli███orm███,1,4,1,5
@Ar███dSu███,1,2,1,3
@Ar███iVa███tin███,1,5,2,7
@As███rr,1,32,9,41
@As███y13███,1,4,1,5
@At███eyS███lai███,1,20,3,23
@Az███ak_███,1,6,1,7
@BA███8,1,777,8,785
@BB███Pop███t,1,12,1,13
@BR███7oz███,1,7,2,9
@BT███,1,4,1,5
@Ba███Zio███tCh███,1,46,9,55
@Ba███oom███,1,6,0,6
@Be███apl███y,1,6,2,8
@Be███eTi███,1,55,10,65
@Be███hor███,1,9,3,12
@Be███min███dri█████████,1,17,3,20
@Be███rae███,1,4,2,6
@Be███ssi███otA█████████,1,5,0,5
@Bi███awk███031███,1,16,2,18
@Bl███agg███,1,1,4,5
@Bl███e3k███,1,2,1,3
@Bl███eac███77,1,166,3,169
@Bl███ide███,1,1,1,2
@Bo███Ali███h,1,1,2,3
@Bo███Ben███,1,22,3,25
@Bo███eMi███art███,1,1,1,2
@Bo███esA███ool███,1,4,1,5
@Bo███ian███adi███,1,1,1,2
@Bo███n06███,1,20,0,20
@CH███p,1,4,1,5
@Ca███Chi███a,1,5,1,6
@Ca███chi███a_d██████,1,4,1,5
@Ca███dLo███,1,1,2,3
@Ch███-xe███,1,6,1,7
@Ch███ofG███876███,1,1,1,2
@Ch███t-v███,1,4,105,109
@Ch███tia███547███,1,29,4,33
@Ch███tis███g70█████████,1,19,1,20
@Cy███cks███,1,1,1,2
@DD███80,1,1,1,2
@DR███3,1,1,1,2
@Da███-mr███,1,79,2,81
@Da███Gla███s77███,1,1,1,2
@Da███Liv███Lif███,2,4,8,12
@Da███Mos███S,1,2,1,3
@Da███gov███,1,158,21,179
@Da███jie███les█████████,1,26,4,30
@Da███lKi███-y4███,1,13,2,15
@Da███nJa███,1,119,3,122
@Da███ofo███,1,4,1,5
@De███ent███e,1,95,1,96
@Di███oC,1,8,4,12
@Di███ryc███,1,1,5,6
@Di███ver███V,1,40,1,41
@Do███dMc███376███,1,10,2,12
@Do███int███x1f███,1,1,5,6
@Du███auc███,1,13,1,14
@Du███uye███n1g███,1,50,6,56
@Eg███ggP███,1,13,0,13
@Em███yel███and███,1,1,1,2
@En███shW███ers███,1,35,2,37
@Er███aug███-US███,1,1,1,2
@Er███ehr███n,1,17,2,19
@Ev███aDo███tuf███,1,1300,16,1316
@Ex███c30███,1,155,4,159
@Fa███IsH███,1,3,1,4
@Fo███alc███962██████,1,13,1,14
@Fr███yBo███08,1,3,1,4
@Ga███6_6███,1,1,2,3
@Ga███aln███,1,23,4,27
@Ga███n67███,1,5,1,6
@Ga███y_G███iel███,1,5,0,5
@Ge███ach███,1,4,1,5
@Ge███ato███,1,10,0,10
@Ge███eth███6rg███,1,108,4,112
@Gl███lli███,1,273,10,283
@Go███hep███dPi██████,1,20,11,31
@Go███tt,1,7,10,17
@Gr███vil███tio███,1,4,1,5
@Gu███and███ses███,1,1,0,1
@H3███_v2███,1,17,1,18
@HI███ICE███FE,1,2,3,5
@Ha███56,1,8,1,9
@Ha███etF███-pe██████,1,4,1,5
@Ha███h-b███d,1,2,1,3
@Ha███luY███7,1,2,1,3
@He███Dur███,1,17,3,20
@He███ksf███,1,2,1,3
@He███u5s███,1,5,4,9
@He███yec███s,1,2,1,3
@Ho███Doo███i9z███,1,4,1,5
@Ho███a19███,1,1,1,2
@IS███uth███,1,13,4,17
@Im███a,1,1,0,1
@In███rat███Ign█████████,1,54,2,56
@Ir███034███,1,53,7,60
@JG███5tp███,1,1,1,2
@JJ███,1,8,3,11
@JM███ael███g,1,6,1,7
@Ja███L-p███t,1,4,2,6
@Ja███_Ne███nn,1,12,51,63
@Ja███lKh███ob5███,1,17,1,18
@Ja███lq8███,2,5,5,10
@Ja███my4███,1,1,1,2
@Je███-w9███,1,2,1,3
@Je███S54███,1,2,1,3
@Je███aGe███al-██████,1,55,2,57
@Je███ega███,1,1,1,2
@Je███ove███r,1,1,1,2
@Jo███32,1,77,7,84
@Jo███cka███,1,2,1,3
@Jo███ell███,1,1,1,2
@Jo███oe-███lm,1,15,5,20
@Ju███ing███2,1,7,1,8
@Ju███n9x███,1,5,1,6
@K.███lil███,1,38,3,41
@KI███OF_███GS_█████████F_L██████,1,11,1,12
@KI███RAL███,1,113,2,115
@KJ███rit███68,1,9,2,11
@Ka███ina███ipo███,1,1,1,2
@Ka███lad███ne,1,2,1,3
@Ka███ras███f4u███,1,476,1,477
@Ke███-nt███,1,1,4,5
@Ke███Bar███r,1,5,1,6
@Ke███Ras███,1,1,3,4
@La███me0███,1,8,2,10
@La███n-w███w,1,10,2,12
@Le███re-███2,1,2,1,3
@Li███48,1,4,1,5
@Li███oro███wi3███,1,7,1,8
@Lo███2Th███il1███,1,2,2,4
@Lo███rut███,1,6,4,10
@Lu███imo███ti,1,449,3,452
@Lu███io_███,1,2,1,3
@Ly███750███,1,3,1,4
@MA███ADE███EIS██████,1,1,3,4
@MJ███myW███y,2,3,2,5
@MK███rap███,1,3,4,7
@MY███MET███,1,2,2,4
@Ma███Lui███eDo█████████,1,2,1,3
@Ma███Pat███ro5███,1,5,2,7
@Ma███ann███,1,3,4,7
@Ma███ewj███orO███,1,2,2,4
@Ma███hil███fo,1,34,5,39
@Ma███nJa███389███,1,6,1,7
@Ma███sed███do7███,2,4,2,6
@Ma███ser███61,1,2,1,3
@Ma███wil███v3g███,1,67,18,85
@Me███mar███,1,5,0,5
@Me███toM███tur███,1,56,4,60
@Mi███064███,1,16,4,20
@Mi███elD███ard██████,1,1,1,2
@Mi███elJ███son█████████,2,7,1,8
@Mi███elK███h-t██████,1,1,1,2
@Mi███elW███ace██████,1,3,1,4
@Mi███elb███1,1,42,27,69
@Mi███heH███t,1,3,8,11
@Mi███unt███m,1,157,1,158
@Mo███edI███-d4███,1,1,1,2
@Mo███nWa███,1,91,1,92
@Mo███tru███,1,2,2,4
@Mr███ana███,1,2,0,2
@Mr███anz███4,1,1,1,2
@Mr███en4███,1,2,1,3
@Mr███kin███,2,5,3,8
@Mu███-Mu███,1,7,1,8
@My███Azz███ple███,1,11,2,13
@Mé███ieG███n-v███,1,2,1,3
@NB███-x1███,1,34,3,37
@Nd███C,1,8,1,9
@Ne███l-e███o,1,1,2,3
@Nh███5,1,13,1,14
@Ni███Hod███,1,1,1,2
@Ni███a10███s,1,6,1,7
@Ni███had███,1,36,6,42
@No███200███,1,2,1,3
@No███Ove███rma███,1,3,1,4
@No███ng-███zq,1,48,1,49
@No███nor███edi███,1,1,2,3
@No███ock███d,1,1,0,1
@No███sta███,1,3,2,5
@Nu███3YT███,1,53,5,58
@OG███OST███,1,15,3,18
@OS███12,1,39,2,41
@On███Go-███,4,4,7,11
@Pa███Rob███on-██████,1,6,1,7
@Pa███bk8███,1,23,4,27
@Pa███yDe███,1,3,1,4
@Pe███omo███a,1,2,2,4
@Pi███Mon███,1,10,1,11
@Pl███eig███,1,3,1,4
@Pr███_ea███lin██████,1,15,3,18
@Pu███loo███alk███,1,2,2,4
@Qu███2,1,7,1,8
@Qu███Ink███,1,31,3,34
@R.███77.███,1,1,1,2
@Ra███-eq███,1,7,1,8
@Ra███Ric███dso█████████,1,3,2,5
@Ra███abi███,1,2,1,3
@Ra███ow9███,1,23,7,30
@Ra███ufa███mar██████,1,2,0,2
@Re███New███lin███,1,25,1,26
@Re███itt███cob███,1,2,2,4
@Re███sot███,1,1,2,3
@Ri███nq3███,1,1,1,2
@Ro███Roc███,1,5,1,6
@Ro███dOf███eRe██████,1,179,5,184
@Ro███ics███,1,1,0,1
@Ro███ina███tro██████,1,3,3,6
@Ro███ohn███ta-██████,1,3,2,5
@Ro███tPr███-n3███,1,28,1,29
@Ro███tWh███-g7███,1,2,1,3
@Ro███the███108███,1,5,1,6
@Ry███enn███-u7███,1,7,3,10
@SE███MBE███N,1,3,1,4
@ST███OXi███tch█████████,1,3,0,3
@Sa███Zao███i7q███,1,3,2,5
@Sa███naM███ne-██████,1,172,7,179
@Sa███o-S███o-4███,1,1,1,2
@Sc███Sto███,1,114,3,117
@Sc███urZ███anE█████████w,1,31,2,33
@Se███y_O███ns,1,2,2,4
@Sh███_22███,1,1,2,3
@Sh███aTu███n-x███,1,8,1,9
@Sh███b_i███Sal███,1,8,1,9
@Sh███erd███,1,1,2,3
@Sh███ump███,1,1,1,2
@Si███rwa███67,1,449,12,461
@Sk███erM███o,1,74,11,85
@Sl███kCh███y,1,176,3,179
@Sm███Mar███58,1,1,3,4
@So███Mik███cDa██████,1,170,12,182
@So███ord███,1,3,1,4
@Sp███ern███i12██████,1,145,12,157
@Sp███rSp███4,1,6,1,7
@St███geD███198███,1,1,1,2
@St███nAn███ny-██████,1,2,2,4
@St███nVe███-e1███,1,2,6,8
@Su███bak███nk,1,2,3,5
@Su███iAw███-y7███,1,3,1,4
@Ta███Lan███,1,7,1,8
@Te███Gil███-gj██████,1,18,2,20
@Te███Par███nag███,1,2,1,3
@Te███Sue███Z,1,9,3,12
@Th███Scr███19,1,62,5,67
@Th███_th███er,1,22,1,23
@Th███alT███h53███,1,60,10,70
@Th███ave███gCl██████,1,3,1,4
@Th███che███956███,1,7,2,9
@Th███lea███and██████,1,1,1,2
@Th███nKi███69x███,1,9,2,11
@Th███nOf███nRe███,1,3,1,4
@Th███nes███Zon███,1,2,2,4
@Th███oct███969███,1,2,3,5
@Th███sSi███ns-██████,1,1,1,2
@Th███ubL███,1,10,2,12
@Ti███ltu███,1,54,2,56
@To███NL,1,1,1,2
@To███lyC███tal███,1,7,1,8
@Tr███leF███yle███,1,131,1,132
@Tr███ssl███9,1,26,9,35
@Tw███y10███,1,2,2,4
@Ty███jet███,1,8,7,15
@Ty███th-███hv,1,5,2,7
@U.███wn9███,1,4,1,5
@Ud███ill███,1,176,1,177
@Um███aib███sma██████,1,9,2,11
@Ve███63,1,3,1,4
@Ve███on-███,1,2,2,4
@Vi███Daw███-i2███,1,79,1,80
@Vi███Kum███zk2███,1,6,2,8
@Vi███akP███e53███,1,1,2,3
@Vi███ria███es-██████,1,7,1,8
@Vi███usB███s20███,1,20,2,22
@We███nX2███A,1,6,2,8
@Xa███r_B███kin██████,1,19,2,21
@Ya███piz███oy9███,1,6,3,9
@Yo███anS███n,1,1,1,2
@Zi███omZ███,1,17,3,20
@aa███hen███cks███,1,1,1,2
@aa███kha███52,1,6,3,9
@ac███bia███038███,1,2,3,5
@af███aca███,1,9,1,10
@af███an6███,1,3,3,6
@ag███00,1,77,18,95
@ai███kro███23,1,2,0,2
@ak███isr███422███,1,1,1,2
@ak███om,1,1,1,2
@al███177███,1,2,2,4
@al███air███abe██████,1,16,2,18
@al███don███1,1,2,2,4
@al███g62███,1,2,3,5
@al███ndo███dtr█████████,1,227,5,232
@al███rt3███,1,47,11,58
@al███tma███96,1,1,1,2
@am███ion███,1,414,8,422
@am███str███hen██████,1,4,0,4
@an███ani███sil█████████,2,9,2,11
@an███asi███s41███,1,8,2,10
@an███mac███kil██████,1,1,1,2
@an███nia███61,1,3,1,4
@an███nyg███85,1,30,3,33
@an███nym███,1,2,1,3
@an███oan███ron██████,1,1,1,2
@an███sil███035███,1,1,1,2
@an███sst███327███,1,4,3,7
@an███tar███er,1,27,1,28
@an███wit███ght██████,3,210,5,215
@an███wsa███nov██████,1,2,1,3
@ar███din███tri█████████,1,8,2,10
@ar███djo███on3██████,1,1,0,1
@ar███nas███dio██████,1,1300,7,1307
@ar███rbr███gem██████,1,1,1,2
@ar███ust███361███,1,3,0,3
@ar███van███duy██████,1,22,1,23
@as███ing███e76███,1,13,3,16
@as███jai███2,1,24,1,25
@as███nra███879███,1,14,7,21
@as███rft███,1,83,5,88
@au███ilo███vel██████,1,1,1,2
@av███amg███ber██████,1,1,1,2
@ay███dv,1,1,4,5
@az███cha███,1,46,1,47
@ba███rad███ie3██████,1,31,1,32
@be███h72███,1,1,1,2
@be███ice███eat███,1,6,1,7
@be███ske███,1,11,1,12
@bi███n47███,1,29,9,38
@bl███aro███elt█████████uez██████,1,63,9,72
@bl███erd███lac███,1,2,1,3
@bl███lup███,1,177,7,184
@bl███mar███1,1,102,9,111
@bo███art███are█████████021███,1,13,1,14
@bo███buk███ki1██████,1,82,2,84
@bo███cke███n34███,1,2,1,3
@bo███cne███,1,2,1,3
@bo███ek2███,1,2,1,3
@bo███eri███,1,7,0,7
@bo███r20███,1,47,4,51
@bo███sh3███,1,176,2,178
@br███edw███mal█████████,1,1,1,2
@br███eyr███ere██████,1,2,2,4
@br███han███455███,1,2,2,4
@br███lau███3,1,27,1,28
@br███m8,1,32,5,37
@br███rin███,1,104,19,123
@br███wal███ain█████████174███,1,1,1,2
@bw███,1,59,7,66
@by███.tr███er8██████,4,63,6,69
@c.███946███,1,4,1,5
@c0███aaa███www███,1,13,1,14
@ca███176███,1,1,2,3
@ca███4,1,27,4,31
@ca███979███,1,7,2,9
@ca███efl███761███,1,3,1,4
@ca███inr███ell██████,1,19,3,22
@ca███orn███ala███,82,82,187,269
@ca███uha███d39███,1,1,1,2
@cc███ifo███a72███,1,13,1,14
@ch███955███,1,2,1,3
@ch███akc███tal██████,1,9,1,10
@ch███alb███sen██████,1,90,3,93
@ch███cor███an4██████,1,28,12,40
@ch███en3███,1,7,0,7
@ch███erm███,1,90,7,97
@ch███est███455███,1,65,14,79
@ch███gcf███,1,434,2,436
@ch███ii1███,1,6,2,8
@ch███lse███u71███,1,139,3,142
@ch███nic███s28███,1,16,3,19
@ch███tma███oli██████,1,178,5,183
@ch███x13███,1,4,1,5
@ch███yph███y_,1,4,9,13
@ci███enh███nbe██████,1,5,1,6
@ci███r72███,1,1,2,3
@cl███ord███l23███,1,4,2,6
@cl███ycl███c,1,116,9,125
@co███ado███ple█████████,1,2,1,3
@co███eas███de,1,1,2,3
@co███mca███ffe██████,1,4,1,5
@co███ree███249███,1,588,24,612
@cu███cfa███n88███,1,75,3,78
@cu███tem███cos█████████,1,8,1,9
@cv███son███,1,2,1,3
@da███594███,1,5,1,6
@da███enc███war█████████,1,2,8,10
@da███kle███hef█████████,1,1,1,2
@da███koe███r32███,1,98,2,100
@da███lwi███ams█████████,1,2,2,4
@da███mad███ovi██████,1,3,3,6
@da███mor███usi███,1,6,2,8
@da███nb4███,1,1,2,3
@da███niw███er9██████,1,2,2,4
@da███ttl███er6██████,1,13,3,16
@da███ush███eya██████,1,5,1,6
@da███van███448███,1,8,0,8
@de███lia███,1,1,1,2
@de███own███4,1,1,1,2
@de███phi███ps6██████,1,2,1,3
@de███rhi███843███,2,6,2,8
@di███col███,1,4,1,5
@di███ien███86,1,1,4,5
@dm███pre███600███,1,5,9,14
@do███eve███,1,3,1,4
@do███gre███873███,1,73,6,79
@do███her███364███,1,1,1,2
@do███lee███3,1,2,1,3
@do███ool███0,1,1,0,1
